Título: ﻿A, Autor: B, Estado: Disponible
Título: It, Autor: Stephen King, Estado: Disponible
Título: Carrie, Autor: Stephen King, Estado: Disponible
Título: The Shining, Autor: Stephen King, Estado: Disponible
Título: Pet Sematary, Autor: Stephen King, Estado: Disponible
Título: Misery, Autor: Stephen King, Estado: Disponible
Título: The Stand, Autor: Stephen King, Estado: Disponible
Título: Salem's Lot, Autor: Stephen King, Estado: Disponible
Título: Doctor Sleep, Autor: Stephen King, Estado: Disponible
Título: Gerald's Game, Autor: Stephen King, Estado: Disponible
Título: 11/22/1963, Autor: Stephen King, Estado: Disponible
